title,location,place,price,rating,image_url,details,map_url,type
JW Marriott Chandigarh,"Chandigarh, India",Sector 35,11000,4.7,https://images.unsplash.com/photo-1571896349842-33c89424de2d?w=800,"Luxury hotel in the heart of the city beautiful.",https://www.google.com/maps?q=30.7333,76.7794,hotel
Taj Chandigarh,"Chandigarh, India",Sector 17,10500,4.7,https://images.unsplash.com/photo-1582719478250-c89cae4dc85b?w=800,"Contemporary hotel with modern design aesthetics.",https://www.google.com/maps?q=30.7411,76.7870,hotel
Nik Baker's,"Chandigarh, India",Sector 7,400,4.6,https://images.unsplash.com/photo-1599599810769-bcde5a160d32?w=800,"Iconic bakery and cafe since 1977.",https://www.google.com/maps?q=30.7430,76.7876,restaurant
Indian Coffee House,"Chandigarh, India",Sector 17,180,4.4,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?w=800,"Classic coffee house with old-world charm.",https://www.google.com/maps?q=30.7411,76.7870,restaurant
Hyatt Regency Amritsar,"Amritsar, Punjab",GT Road,9500,4.7,https://images.unsplash.com/photo-1520250497591-112f2f40a3f4?w=800,"Modern hotel near Golden Temple.",https://www.google.com/maps?q=31.6340,74.8723,hotel
Taj Swarna,"Amritsar, Punjab",District Shopping Complex,8500,4.6,https://images.unsplash.com/photo-1549294413-26f195200c16?w=800,"Contemporary hotel with traditional Punjabi hospitality.",https://www.google.com/maps?q=31.6340,74.8723,hotel
Kesar Da Dhaba,"Amritsar, Punjab",Passian Chowk,300,4.7,https://images.unsplash.com/photo-1668236543090-82eba5ee5976?w=800,"Legendary dhaba serving authentic Punjabi food since 1916.",https://www.google.com/maps?q=31.6340,74.8723,restaurant
Bharawan Da Dhaba,"Amritsar, Punjab",Town Hall,350,4.6,https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?w=800,"Famous for dal makhani and kulcha since 1912.",https://www.google.com/maps?q=31.6340,74.8723,restaurant
Brothers' Dhaba,"Amritsar, Punjab",Lawrence Road,280,4.5,https://images.unsplash.com/photo-1563379091339-03b21ab4a4f8?w=800,"Popular for tandoori chicken and butter chicken.",https://www.google.com/maps?q=31.6340,74.8723,restaurant
The Oberoi Sukhvilas,"Chandigarh, India",Siswan Forest,22000,4.9,https://images.unsplash.com/photo-1566073771259-cc28c264e15e?w=800,"Luxury spa resort in the Himalayan foothills.",https://www.google.com/maps?q=30.7194,76.8721,hotel
Welcomhotel Shimla,"Shimla, Himachal Pradesh",The Mall,8500,4.6,https://images.unsplash.com/photo-1549294413-26f195200c16?w=800,"Heritage hotel on historic Mall Road.",https://www.google.com/maps?q=31.1048,77.1734,hotel
Wildflower Hall,"Shimla, Himachal Pradesh",Chharabra,25000,4.9,https://images.unsplash.com/photo-1551882547-ff40c63fe5fa?w=800,"Luxury mountain resort with Himalayan views.",https://www.google.com/maps?q=31.1048,77.1734,hotel
Combermere Restaurant,"Shimla, Himachal Pradesh",The Mall,650,4.5,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?w=800,"Historic restaurant serving continental and Indian cuisine.",https://www.google.com/maps?q=31.1048,77.1734,restaurant
The Oberoi Cecil,"Shimla, Himachal Pradesh",Chaura Maidan,18000,4.8,https://images.unsplash.com/photo-1566073771259-cc28c264e15e?w=800,"Colonial-era luxury hotel with period furniture.",https://www.google.com/maps?q=31.1048,77.1734,hotel
Hanuman Ka Dhaba,"Shimla, Himachal Pradesh",Sanjauli,250,4.4,https://images.unsplash.com/photo-1668236543090-82eba5ee5976?w=800,"Local favorite for North Indian vegetarian food.",https://www.google.com/maps?q=31.0927,77.1773,restaurant
Span Resort Manali,"Manali, Himachal Pradesh",Left Bank Beas,7500,4.6,https://images.unsplash.com/photo-1520250497591-112f2f40a3f4?w=800,"Mountain resort with valley and river views.",https://www.google.com/maps?q=32.2396,77.1887,hotel
Manu Allaya Resort,"Manali, Himachal Pradesh",Sunny Side,9500,4.7,https://images.unsplash.com/photo-1549294413-26f195200c16?w=800,"Luxury resort with modern amenities and mountain views.",https://www.google.com/maps?q=32.2396,77.1887,hotel
Johnson's Cafe,"Manali, Himachal Pradesh",Circuit House Road,550,4.6,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?w=800,"Popular cafe with trout specialties and baked goods.",https://www.google.com/maps?q=32.2396,77.1887,restaurant
Chopsticks,"Manali, Himachal Pradesh",The Mall,450,4.5,https://images.unsplash.com/photo-1555396273-367ea4eb4db5?w=800,"Multi-cuisine restaurant specializing in Asian food.",https://www.google.com/maps?q=32.2396,77.1887,restaurant
The LaLiT Grand Palace,"Srinagar, Jammu & Kashmir",Gupkar Road,16000,4.8,https://images.unsplash.com/photo-1582719478250-c89cae4dc85b?w=800,"Historic palace hotel on Dal Lake shore.",https://www.google.com/maps?q=34.0837,74.7973,hotel
Vivanta Dal View,"Srinagar, Jammu & Kashmir",Kralsangri,12000,4.7,https://images.unsplash.com/photo-1520250497591-112f2f40a3f4?w=800,"Luxury hotel overlooking Dal Lake.",https://www.google.com/maps?q=34.0837,74.7973,hotel
Ahdoos,"Srinagar, Jammu & Kashmir",Residency Road,500,4.6,https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?w=800,"Legendary restaurant for Kashmiri Wazwan since 1918.",https://www.google.com/maps?q=34.0837,74.7973,restaurant
Mughal Darbar,"Srinagar, Jammu & Kashmir",Residency Road,450,4.6,https://images.unsplash.com/photo-1563379091339-03b21ab4a4f8?w=800,"Famous for authentic Kashmiri mutton dishes.",https://www.google.com/maps?q=34.0837,74.7973,restaurant
